  No;Problem;                                                                            ;;
 140;lwb/k_d4_n.0760.spartacus;                                             635.66; Sat  ;
 141;lwb/k_d4_n.0800.spartacus;                                             772.62; Sat  ;
 142;lwb/k_d4_n.0840.spartacus;                                             854.96; Sat  ;
 143;lwb/k_d4_n.0880.spartacus;                                             881.81; Sat  ;
 144;lwb/k_d4_n.0920.spartacus;                                            TIMEOUT;      ;
 145;lwb/k_d4_n.0960.spartacus;                                            TIMEOUT;      ;
 146;lwb/k_d4_n.1000.spartacus;                                            TIMEOUT;      ;
 147;lwb/k_d4_n.1040.spartacus;                                            TIMEOUT;      ;
 148;lwb/k_d4_n.1080.spartacus;                                            TIMEOUT;      ;
 149;lwb/k_d4_n.1120.spartacus;                                            TIMEOUT;      ;
 150;lwb/k_d4_n.1160.spartacus;                                            TIMEOUT;      ;
 151;lwb/k_d4_n.1200.spartacus;                                            TIMEOUT;      ;
 152;lwb/k_d4_n.1240.spartacus;                                            TIMEOUT;      ;
 153;lwb/k_d4_n.1280.spartacus;                                            TIMEOUT;      ;
 154;lwb/k_d4_n.1320.spartacus;                                            TIMEOUT;      ;
 155;lwb/k_d4_n.1360.spartacus;                                            TIMEOUT;      ;
 156;lwb/k_d4_n.1400.spartacus;                                            TIMEOUT;      ;
 157;lwb/k_d4_n.1440.spartacus;                                            TIMEOUT;      ;
 158;lwb/k_d4_n.1480.spartacus;                                            TIMEOUT;      ;
 159;lwb/k_d4_n.1520.spartacus;                                            TIMEOUT;      ;
 160;lwb/k_d4_n.1560.spartacus;                                            TIMEOUT;      ;
 161;lwb/k_d4_n.1600.spartacus;                                            TIMEOUT;      ;
 162;lwb/k_d4_n.1640.spartacus;                                            TIMEOUT;      ;
 163;lwb/k_d4_n.1680.spartacus;                                            TIMEOUT;      ;
 164;lwb/k_d4_n.1720.spartacus;                                            TIMEOUT;      ;
 165;lwb/k_d4_n.1760.spartacus;                                            TIMEOUT;      ;
 166;lwb/k_d4_n.1800.spartacus;                                            TIMEOUT;      ;
 167;lwb/k_d4_n.1840.spartacus;                                            TIMEOUT;      ;
 168;lwb/k_d4_n.1880.spartacus;                                            TIMEOUT;      ;
 169;lwb/k_d4_p.0004.spartacus;                                               0.00; Unsat;
 170;lwb/k_d4_p.0008.spartacus;                                               0.00; Unsat;
 171;lwb/k_d4_p.0012.spartacus;                                               0.00; Unsat;
 172;lwb/k_d4_p.0016.spartacus;                                               0.00; Unsat;
 173;lwb/k_d4_p.0020.spartacus;                                               0.01; Unsat;
 174;lwb/k_d4_p.0040.spartacus;                                               0.09; Unsat;
 175;lwb/k_d4_p.0060.spartacus;                                               0.28; Unsat;
 176;lwb/k_d4_p.0080.spartacus;                                               0.64; Unsat;
 177;lwb/k_d4_p.0100.spartacus;                                               1.23; Unsat;
 178;lwb/k_d4_p.0120.spartacus;                                               2.10; Unsat;
 179;lwb/k_d4_p.0140.spartacus;                                               3.29; Unsat;
 180;lwb/k_d4_p.0160.spartacus;                                               4.88; Unsat;
 181;lwb/k_d4_p.0180.spartacus;                                               6.92; Unsat;
 182;lwb/k_d4_p.0200.spartacus;                                               9.45; Unsat;
 183;lwb/k_d4_p.0240.spartacus;                                              16.34; Unsat;
 184;lwb/k_d4_p.0280.spartacus;                                              25.73; Unsat;
 185;lwb/k_d4_p.0320.spartacus;                                              38.07; Unsat;
 186;lwb/k_d4_p.0360.spartacus;                                              53.89; Unsat;
 187;lwb/k_d4_p.0400.spartacus;                                              74.18; Unsat;
 188;lwb/k_d4_p.0440.spartacus;                                              98.63; Unsat;
 189;lwb/k_d4_p.0480.spartacus;                                             127.95; Unsat;
 190;lwb/k_d4_p.0520.spartacus;                                             162.22; Unsat;
 191;lwb/k_d4_p.0560.spartacus;                                             202.49; Unsat;
 192;lwb/k_d4_p.0600.spartacus;                                             247.59; Unsat;
 193;lwb/k_d4_p.0640.spartacus;                                             265.78; Unsat;
 194;lwb/k_d4_p.0680.spartacus;                                             308.40; Unsat;
 195;lwb/k_d4_p.0720.spartacus;                                             356.22; Unsat;
 196;lwb/k_d4_p.0760.spartacus;                                             413.28; Unsat;
 197;lwb/k_d4_p.0800.spartacus;                                             487.50; Unsat;
 198;lwb/k_d4_p.0840.spartacus;                                             534.06; Unsat;
 199;lwb/k_d4_p.0880.spartacus;                                             625.59; Unsat;
 200;lwb/k_d4_p.0920.spartacus;                                             628.50; Unsat;
 201;lwb/k_d4_p.0960.spartacus;                                             703.84; Unsat;
 202;lwb/k_d4_p.1000.spartacus;                                             911.68; Unsat;
 203;lwb/k_d4_p.1040.spartacus;                                             965.49; Unsat;
 204;lwb/k_d4_p.1080.spartacus;                                            TIMEOUT;      ;
 205;lwb/k_d4_p.1120.spartacus;                                            TIMEOUT;      ;
 206;lwb/k_d4_p.1160.spartacus;                                            TIMEOUT;      ;
 207;lwb/k_d4_p.1200.spartacus;                                            TIMEOUT;      ;
 208;lwb/k_d4_p.1240.spartacus;                                            TIMEOUT;      ;
 209;lwb/k_d4_p.1280.spartacus;                                            TIMEOUT;      ;
 210;lwb/k_d4_p.1320.spartacus;                                            TIMEOUT;      ;
 211;lwb/k_d4_p.1360.spartacus;                                            TIMEOUT;      ;
 212;lwb/k_d4_p.1400.spartacus;                                            TIMEOUT;      ;
 213;lwb/k_d4_p.1440.spartacus;                                            TIMEOUT;      ;
 214;lwb/k_d4_p.1480.spartacus;                                            TIMEOUT;      ;
 215;lwb/k_d4_p.1520.spartacus;                                            TIMEOUT;      ;
 216;lwb/k_d4_p.1560.spartacus;                                            TIMEOUT;      ;
 217;lwb/k_d4_p.1600.spartacus;                                            TIMEOUT;      ;
 218;lwb/k_d4_p.1640.spartacus;                                            TIMEOUT;      ;
 219;lwb/k_d4_p.1680.spartacus;                                            TIMEOUT;      ;
 220;lwb/k_d4_p.1720.spartacus;                                            TIMEOUT;      ;
 221;lwb/k_d4_p.1760.spartacus;                                            TIMEOUT;      ;
 222;lwb/k_d4_p.1800.spartacus;                                            TIMEOUT;      ;
 223;lwb/k_d4_p.1840.spartacus;                                            TIMEOUT;      ;
 224;lwb/k_d4_p.1880.spartacus;                                            TIMEOUT;      ;
 225;lwb/k_dum_n.0008.spartacus;                                              0.00; Sat  ;
 226;lwb/k_dum_n.0016.spartacus;                                              0.00; Sat  ;
 227;lwb/k_dum_n.0024.spartacus;                                              0.00; Sat  ;
 228;lwb/k_dum_n.0032.spartacus;                                              0.00; Sat  ;
 229;lwb/k_dum_n.0040.spartacus;                                              0.00; Sat  ;
 230;lwb/k_dum_n.0080.spartacus;                                              0.03; Sat  ;
 231;lwb/k_dum_n.0120.spartacus;                                              0.12; Sat  ;
 232;lwb/k_dum_n.0160.spartacus;                                              0.25; Sat  ;
 233;lwb/k_dum_n.0200.spartacus;                                              0.45; Sat  ;
 234;lwb/k_dum_n.0240.spartacus;                                              0.75; Sat  ;
 235;lwb/k_dum_n.0280.spartacus;                                              1.14; Sat  ;
 236;lwb/k_dum_n.0320.spartacus;                                              1.67; Sat  ;
 237;lwb/k_dum_n.0360.spartacus;                                              2.33; Sat  ;
 238;lwb/k_dum_n.0400.spartacus;                                              3.10; Sat  ;
 239;lwb/k_dum_n.0480.spartacus;                                              5.23; Sat  ;
 240;lwb/k_dum_n.0560.spartacus;                                              8.18; Sat  ;
 241;lwb/k_dum_n.0640.spartacus;                                             12.11; Sat  ;
 242;lwb/k_dum_n.0720.spartacus;                                             16.87; Sat  ;
 243;lwb/k_dum_n.0800.spartacus;                                             23.25; Sat  ;
 244;lwb/k_dum_n.0880.spartacus;                                             30.53; Sat  ;
 245;lwb/k_dum_n.0960.spartacus;                                             39.42; Sat  ;
 246;lwb/k_dum_n.1040.spartacus;                                             49.87; Sat  ;
 247;lwb/k_dum_n.1120.spartacus;                                             63.22; Sat  ;
 248;lwb/k_dum_n.1200.spartacus;                                             79.58; Sat  ;
 249;lwb/k_dum_n.1280.spartacus;                                             95.47; Sat  ;
 250;lwb/k_dum_n.1360.spartacus;                                            119.44; Sat  ;
 251;lwb/k_dum_n.1440.spartacus;                                            125.61; Sat  ;
 252;lwb/k_dum_n.1520.spartacus;                                            143.28; Sat  ;
 253;lwb/k_dum_n.1600.spartacus;                                            161.61; Sat  ;
 254;lwb/k_dum_n.1680.spartacus;                                            181.95; Sat  ;
 255;lwb/k_dum_n.1760.spartacus;                                            203.95; Sat  ;
 256;lwb/k_dum_n.1840.spartacus;                                            228.47; Sat  ;
 257;lwb/k_dum_n.1920.spartacus;                                            262.88; Sat  ;
 258;lwb/k_dum_n.2000.spartacus;                                            286.37; Sat  ;
 259;lwb/k_dum_n.2080.spartacus;                                            319.00; Sat  ;
 260;lwb/k_dum_n.2160.spartacus;                                            347.62; Sat  ;
 261;lwb/k_dum_n.2240.spartacus;                                            385.89; Sat  ;
 262;lwb/k_dum_n.2320.spartacus;                                            428.99; Sat  ;
 263;lwb/k_dum_n.2400.spartacus;                                            482.58; Sat  ;
 264;lwb/k_dum_n.2480.spartacus;                                            440.79; Sat  ;
 265;lwb/k_dum_n.2560.spartacus;                                            538.88; Sat  ;
 266;lwb/k_dum_n.2640.spartacus;                                            631.25; Sat  ;
 267;lwb/k_dum_n.2720.spartacus;                                            653.16; Sat  ;
 268;lwb/k_dum_n.2800.spartacus;                                            700.10; Sat  ;
 269;lwb/k_dum_n.2880.spartacus;                                            702.06; Sat  ;
 270;lwb/k_dum_n.2960.spartacus;                                            762.01; Sat  ;
 271;lwb/k_dum_n.3040.spartacus;                                            823.31; Sat  ;
 272;lwb/k_dum_n.3120.spartacus;                                            884.45; Sat  ;
 273;lwb/k_dum_n.3200.spartacus;                                            949.49; Sat  ;
 274;lwb/k_dum_n.3280.spartacus;                                           TIMEOUT;      ;
 275;lwb/k_dum_n.3360.spartacus;                                           TIMEOUT;      ;
 276;lwb/k_dum_n.3440.spartacus;                                           TIMEOUT;      ;
 277;lwb/k_dum_n.3520.spartacus;                                           TIMEOUT;      ;
 278;lwb/k_dum_n.3600.spartacus;                                           TIMEOUT;      ;
 279;lwb/k_dum_n.3680.spartacus;                                           TIMEOUT;      ;
 280;lwb/k_dum_n.3760.spartacus;                                           TIMEOUT;      ;
 281;lwb/k_dum_p.0008.spartacus;                                              0.00; Unsat;
 282;lwb/k_dum_p.0016.spartacus;                                              0.00; Unsat;
 283;lwb/k_dum_p.0024.spartacus;                                              0.00; Unsat;
 284;lwb/k_dum_p.0032.spartacus;                                              0.00; Unsat;
 285;lwb/k_dum_p.0040.spartacus;                                              0.00; Unsat;
 286;lwb/k_dum_p.0080.spartacus;                                              0.02; Unsat;
 287;lwb/k_dum_p.0120.spartacus;                                              0.10; Unsat;
 288;lwb/k_dum_p.0160.spartacus;                                              0.21; Unsat;
 289;lwb/k_dum_p.0200.spartacus;                                              0.37; Unsat;
 290;lwb/k_dum_p.0240.spartacus;                                              0.63; Unsat;
 291;lwb/k_dum_p.0280.spartacus;                                              0.94; Unsat;
 292;lwb/k_dum_p.0320.spartacus;                                              1.37; Unsat;
 293;lwb/k_dum_p.0360.spartacus;                                              1.92; Unsat;
 294;lwb/k_dum_p.0400.spartacus;                                              2.59; Unsat;
 295;lwb/k_dum_p.0480.spartacus;                                              4.33; Unsat;
 296;lwb/k_dum_p.0560.spartacus;                                              6.74; Unsat;
 297;lwb/k_dum_p.0640.spartacus;                                             10.03; Unsat;
 298;lwb/k_dum_p.0720.spartacus;                                             14.15; Unsat;
 299;lwb/k_dum_p.0800.spartacus;                                             19.28; Unsat;
