Prover,System,Problem,Execution Time,Result
lwb,vampire,k_d4_n.1520.,9999999.0,NULL
lwb,vampire,k_d4_n.1560.,9999999.0,NULL
lwb,vampire,k_d4_n.1600.,9999999.0,NULL
lwb,vampire,k_d4_n.1640.,9999999.0,NULL
lwb,vampire,k_d4_n.1680.,9999999.0,NULL
lwb,vampire,k_d4_n.1720.,9999999.0,NULL
lwb,vampire,k_d4_n.1760.,9999999.0,NULL
lwb,vampire,k_d4_n.1800.,9999999.0,NULL
lwb,vampire,k_d4_n.1840.,9999999.0,NULL
lwb,vampire,k_d4_n.1880.,9999999.0,NULL
lwb,vampire,k_d4_p.0004.,0.02, Unsat
lwb,vampire,k_d4_p.0008.,0.02, Unsat
lwb,vampire,k_d4_p.0012.,0.03, Unsat
lwb,vampire,k_d4_p.0016.,0.04, Unsat
lwb,vampire,k_d4_p.0020.,0.05, Unsat
lwb,vampire,k_d4_p.0040.,0.22, Unsat
lwb,vampire,k_d4_p.0060.,0.69, Unsat
lwb,vampire,k_d4_p.0080.,1.68, Unsat
lwb,vampire,k_d4_p.0100.,3.46, Unsat
lwb,vampire,k_d4_p.0120.,6.2, Unsat
lwb,vampire,k_d4_p.0140.,10.27, Unsat
lwb,vampire,k_d4_p.0160.,16.2, Unsat
lwb,vampire,k_d4_p.0180.,23.93, Unsat
lwb,vampire,k_d4_p.0200.,34.46, Unsat
lwb,vampire,k_d4_p.0240.,65.25, Unsat
lwb,vampire,k_d4_p.0280.,112.5, Unsat
lwb,vampire,k_d4_p.0320.,180.13, Unsat
lwb,vampire,k_d4_p.0360.,276.29, Unsat
lwb,vampire,k_d4_p.0400.,401.4, Unsat
lwb,vampire,k_d4_p.0440.,565.89, Unsat
lwb,vampire,k_d4_p.0480.,777.24, Unsat
lwb,vampire,k_d4_p.0520.,9999999.0,NULL
lwb,vampire,k_d4_p.0560.,9999999.0,NULL
lwb,vampire,k_d4_p.0600.,9999999.0,NULL
lwb,vampire,k_d4_p.0640.,9999999.0,NULL
lwb,vampire,k_d4_p.0680.,9999999.0,NULL
lwb,vampire,k_d4_p.0720.,9999999.0,NULL
lwb,vampire,k_d4_p.0760.,9999999.0,NULL
lwb,vampire,k_d4_p.0800.,9999999.0,NULL
lwb,vampire,k_d4_p.0840.,9999999.0,NULL
lwb,vampire,k_d4_p.0880.,9999999.0,NULL
lwb,vampire,k_d4_p.0920.,9999999.0,NULL
lwb,vampire,k_d4_p.0960.,9999999.0,NULL
lwb,vampire,k_d4_p.1000.,9999999.0,NULL
lwb,vampire,k_d4_p.1040.,9999999.0,NULL
lwb,vampire,k_d4_p.1080.,9999999.0,NULL
lwb,vampire,k_d4_p.1120.,9999999.0,NULL
lwb,vampire,k_d4_p.1160.,9999999.0,NULL
lwb,vampire,k_d4_p.1200.,9999999.0,NULL
lwb,vampire,k_d4_p.1240.,9999999.0,NULL
lwb,vampire,k_d4_p.1280.,9999999.0,NULL
lwb,vampire,k_d4_p.1320.,9999999.0,NULL
lwb,vampire,k_d4_p.1360.,9999999.0,NULL
lwb,vampire,k_d4_p.1400.,9999999.0,NULL
lwb,vampire,k_d4_p.1440.,9999999.0,NULL
lwb,vampire,k_d4_p.1480.,9999999.0,NULL
lwb,vampire,k_d4_p.1520.,9999999.0,NULL
lwb,vampire,k_d4_p.1560.,9999999.0,NULL
lwb,vampire,k_d4_p.1600.,9999999.0,NULL
lwb,vampire,k_d4_p.1640.,9999999.0,NULL
lwb,vampire,k_d4_p.1680.,9999999.0,NULL
lwb,vampire,k_d4_p.1720.,9999999.0,NULL
lwb,vampire,k_d4_p.1760.,9999999.0,NULL
