Prover,System,Problem,Execution Time,Result
lwb,bbtab,k_dum_p.3040.,9999999.0,NULL
lwb,bbtab,k_dum_p.3120.,9999999.0,NULL
lwb,bbtab,k_dum_p.3200.,9999999.0,NULL
lwb,bbtab,k_dum_p.3280.,9999999.0,NULL
lwb,bbtab,k_dum_p.3360.,9999999.0,NULL
lwb,bbtab,k_dum_p.3440.,9999999.0,NULL
lwb,bbtab,k_dum_p.3520.,9999999.0,NULL
lwb,bbtab,k_dum_p.3600.,9999999.0,NULL
lwb,bbtab,k_dum_p.3680.,9999999.0,NULL
lwb,bbtab,k_dum_p.3760.,9999999.0,NULL
lwb,bbtab,k_grz_n.0010.,0.0, Sat  
lwb,bbtab,k_grz_n.0020.,0.0, Sat  
lwb,bbtab,k_grz_n.0030.,0.0, Sat  
lwb,bbtab,k_grz_n.0040.,0.01, Sat  
lwb,bbtab,k_grz_n.0050.,0.01, Sat  
lwb,bbtab,k_grz_n.0060.,0.02, Sat  
lwb,bbtab,k_grz_n.0070.,0.02, Sat  
lwb,bbtab,k_grz_n.0080.,0.03, Sat  
lwb,bbtab,k_grz_n.0090.,0.04, Sat  
lwb,bbtab,k_grz_n.0100.,0.05, Sat  
lwb,bbtab,k_grz_n.0200.,0.37, Sat  
lwb,bbtab,k_grz_n.0300.,1.28, Sat  
lwb,bbtab,k_grz_n.0400.,3.0, Sat  
lwb,bbtab,k_grz_n.0500.,5.85, Sat  
lwb,bbtab,k_grz_n.0600.,10.14, Sat  
lwb,bbtab,k_grz_n.0700.,16.08, Sat  
lwb,bbtab,k_grz_n.0800.,24.17, Sat  
lwb,bbtab,k_grz_n.0900.,34.53, Sat  
lwb,bbtab,k_grz_n.1000.,47.56, Sat  
lwb,bbtab,k_grz_n.1100.,64.01, Sat  
lwb,bbtab,k_grz_n.1200.,82.79, Sat  
lwb,bbtab,k_grz_n.1300.,106.08, Sat  
lwb,bbtab,k_grz_n.1400.,133.2, Sat  
lwb,bbtab,k_grz_n.1500.,164.93, Sat  
lwb,bbtab,k_grz_n.1600.,201.74, Sat  
lwb,bbtab,k_grz_n.1700.,243.26, Sat  
lwb,bbtab,k_grz_n.1800.,290.42, Sat  
lwb,bbtab,k_grz_n.1900.,343.81, Sat  
lwb,bbtab,k_grz_n.2000.,403.83, Sat  
lwb,bbtab,k_grz_n.2100.,469.66, Sat  
lwb,bbtab,k_grz_n.2200.,545.6, Sat  
lwb,bbtab,k_grz_n.2300.,628.31, Sat  
lwb,bbtab,k_grz_n.2400.,719.74, Sat  
lwb,bbtab,k_grz_n.2500.,820.99, Sat  
lwb,bbtab,k_grz_n.2600.,931.34, Sat  
lwb,bbtab,k_grz_n.2700.,9999999.0,NULL
lwb,bbtab,k_grz_n.2800.,9999999.0,NULL
lwb,bbtab,k_grz_n.2900.,9999999.0,NULL
lwb,bbtab,k_grz_n.3000.,9999999.0,NULL
lwb,bbtab,k_grz_n.3100.,9999999.0,NULL
