  No;Problem;                                                                            ;;
  93;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s2;     TIMEOUT;      ;
  94;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s3;     TIMEOUT;      ;
  95;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s4;     TIMEOUT;      ;
  96;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s5;     TIMEOUT;      ;
  97;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s6;     TIMEOUT;      ;
  98;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s7;     TIMEOUT;      ;
  99;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s8;     TIMEOUT;      ;
 100;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s9;     TIMEOUT;      ;
 101;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s0;     TIMEOUT;      ;
 102;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s1;     TIMEOUT;      ;
 103;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s2;     TIMEOUT;      ;
 104;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s3;     TIMEOUT;      ;
 105;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s4;     TIMEOUT;      ;
 106;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s5;     TIMEOUT;      ;
 107;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s6;     TIMEOUT;      ;
 108;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s7;     TIMEOUT;      ;
 109;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s8;     TIMEOUT;      ;
 110;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s9;     TIMEOUT;      ;
 111;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s0;     TIMEOUT;      ;
 112;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s1;     TIMEOUT;      ;
 113;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s2;     TIMEOUT;      ;
 114;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s3;     TIMEOUT;      ;
 115;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s4;     TIMEOUT;      ;
 116;3CNF2/v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s5;     TIMEOUT;      ;
