  No;Problem;                                                                            ;;
 106;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.2.spartacus;                  1.08; Sat  ;
 107;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.3.spartacus;                  1.08; Sat  ;
 108;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.4.spartacus;                  1.21; Sat  ;
 109;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.5.spartacus;                  1.18; Sat  ;
 110;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.6.spartacus;                  0.87; Sat  ;
 111;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.7.spartacus;                  1.17; Sat  ;
 112;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.8.spartacus;                  1.47; Sat  ;
 113;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.1.spartacus;                211.16; Sat  ;
 114;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.2.spartacus;                 17.21; Sat  ;
 115;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.3.spartacus;                183.24; Sat  ;
 116;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.4.spartacus;                353.28; Sat  ;
 117;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.5.spartacus;                245.24; Sat  ;
 118;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.6.spartacus;                 71.61; Sat  ;
 119;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.7.spartacus;                300.01; Sat  ;
 120;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.8.spartacus;                 67.64; Sat  ;
 121;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.1.spartacus;               TIMEOUT;      ;
 122;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.2.spartacus;               TIMEOUT;      ;
 123;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.3.spartacus;               TIMEOUT;      ;
 124;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.4.spartacus;               TIMEOUT;      ;
 125;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.5.spartacus;               TIMEOUT;      ;
 126;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.6.spartacus;               TIMEOUT;      ;
 127;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.7.spartacus;               TIMEOUT;      ;
 128;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.8.spartacus;               TIMEOUT;      ;
 129;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.1.spartacus;               TIMEOUT;      ;
 130;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.2.spartacus;               TIMEOUT;      ;
 131;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.3.spartacus;               TIMEOUT;      ;
 132;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.4.spartacus;               TIMEOUT;      ;
 133;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.5.spartacus;               TIMEOUT;      ;
 134;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.6.spartacus;               TIMEOUT;      ;
 135;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.7.spartacus;               TIMEOUT;      ;
 136;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.8.spartacus;               TIMEOUT;      ;
 137;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.1.spartacus;              TIMEOUT;      ;
 138;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.2.spartacus;              TIMEOUT;      ;
 139;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.3.spartacus;              TIMEOUT;      ;
 140;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.4.spartacus;              TIMEOUT;      ;
 141;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.5.spartacus;              TIMEOUT;      ;
 142;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.6.spartacus;              TIMEOUT;      ;
 143;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.7.spartacus;              TIMEOUT;      ;
 144;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.8.spartacus;              TIMEOUT;      ;
 145;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.1.spartacus;              TIMEOUT;      ;
 146;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.2.spartacus;              TIMEOUT;      ;
 147;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.3.spartacus;              TIMEOUT;      ;
 148;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.4.spartacus;              TIMEOUT;      ;
 149;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.5.spartacus;              TIMEOUT;      ;
 150;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.6.spartacus;              TIMEOUT;      ;
 151;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.7.spartacus;              TIMEOUT;      ;
 152;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.8.spartacus;              TIMEOUT;      ;
 153;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.1.spartacus;                  1.26; Sat  ;
 154;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.2.spartacus;                  1.53; Unsat;
 155;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.3.spartacus;                  0.81; Unsat;
 156;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.4.spartacus;                  1.78; Unsat;
 157;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.5.spartacus;                  1.02; Unsat;
 158;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.6.spartacus;                  1.25; Sat  ;
 159;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.7.spartacus;                  1.39; Unsat;
 160;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.8.spartacus;                  1.05; Unsat;
 161;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.1.spartacus;                390.48; Sat  ;
 162;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.2.spartacus;                291.04; Sat  ;
 163;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.3.spartacus;                407.49; Sat  ;
