  No;Problem;                                                              snf+#negative6;;
 501;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D6.5;                       132.26; Unsat;
 502;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D6.6;                       237.32; Unsat;
 503;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D6.7;                        98.46; Unsat;
 504;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D6.8;                        98.93; Unsat;
 505;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D4.1;                       255.82; Unsat;
 506;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D4.2;                       590.13; Unsat;
 507;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D4.3;                       524.44; Unsat;
 508;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D4.4;                       608.48; Unsat;
 509;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D4.5;                       333.72; Unsat;
 510;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D4.6;                       673.21; Unsat;
 511;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D4.7;                       397.23; Unsat;
 512;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D4.8;                       684.22; Unsat;
 513;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D6.1;                       138.11; Unsat;
 514;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D6.2;                       167.80; Unsat;
 515;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D6.3;                       169.84; Unsat;
 516;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D6.4;                       201.19; Unsat;
 517;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D6.5;                        88.14; Unsat;
 518;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D6.6;                       150.90; Unsat;
 519;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D6.7;                       346.60; Unsat;
 520;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C40-V16-D6.8;                       313.97; Unsat;
 521;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D4.1;                       867.56; Unsat;
 522;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D4.2;                       327.97; Unsat;
 523;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D4.3;                       473.27; Unsat;
 524;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D4.4;                       722.14; Unsat;
 525;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D4.5;                       758.30; Unsat;
 526;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D4.6;                       999.35; Unsat;
 527;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D4.7;                       597.37; Unsat;
 528;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D4.8;                       929.79; Unsat;
 529;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D6.1;                      TIMEOUT;      ;
 530;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D6.2;                       132.88; Unsat;
 531;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D6.3;                       103.96; Unsat;
 532;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D6.4;                       624.47; Unsat;
 533;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D6.5;                       283.17; Unsat;
 534;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D6.6;                       112.27; Unsat;
 535;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D6.7;                       529.42; Unsat;
 536;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D6.8;                       648.40; Unsat;
 537;qbfMS/C10-V04-D4/p-qbf-modKSSS-K4-C10-V4-D4.1;                           0.00; Sat  ;
 538;qbfMS/C10-V04-D4/p-qbf-modKSSS-K4-C10-V4-D4.2;                           0.00; Sat  ;
 539;qbfMS/C10-V04-D4/p-qbf-modKSSS-K4-C10-V4-D4.3;                           0.00; Sat  ;
 540;qbfMS/C10-V04-D4/p-qbf-modKSSS-K4-C10-V4-D4.4;                           0.00; Sat  ;
 541;qbfMS/C10-V04-D4/p-qbf-modKSSS-K4-C10-V4-D4.5;                           0.00; Sat  ;
 542;qbfMS/C10-V04-D4/p-qbf-modKSSS-K4-C10-V4-D4.6;                           0.00; Sat  ;
 543;qbfMS/C10-V04-D4/p-qbf-modKSSS-K4-C10-V4-D4.7;                           0.00; Sat  ;
 544;qbfMS/C10-V04-D4/p-qbf-modKSSS-K4-C10-V4-D4.8;                           0.00; Sat  ;
 545;qbfMS/C10-V04-D6/p-qbf-modKSSS-K4-C10-V4-D6.1;                           0.00; Sat  ;
 546;qbfMS/C10-V04-D6/p-qbf-modKSSS-K4-C10-V4-D6.2;                           0.00; Sat  ;
 547;qbfMS/C10-V04-D6/p-qbf-modKSSS-K4-C10-V4-D6.3;                           0.00; Sat  ;
 548;qbfMS/C10-V04-D6/p-qbf-modKSSS-K4-C10-V4-D6.4;                           0.00; Sat  ;
 549;qbfMS/C10-V04-D6/p-qbf-modKSSS-K4-C10-V4-D6.5;                           0.00; Sat  ;
 550;qbfMS/C10-V04-D6/p-qbf-modKSSS-K4-C10-V4-D6.6;                           0.00; Sat  ;
 551;qbfMS/C10-V04-D6/p-qbf-modKSSS-K4-C10-V4-D6.7;                           0.00; Sat  ;
 552;qbfMS/C10-V04-D6/p-qbf-modKSSS-K4-C10-V4-D6.8;                           0.00; Sat  ;
 553;qbfMS/C10-V08-D4/p-qbf-modKSSS-K4-C10-V8-D4.1;                           0.00; Sat  ;
 554;qbfMS/C10-V08-D4/p-qbf-modKSSS-K4-C10-V8-D4.2;                           0.00; Sat  ;
 555;qbfMS/C10-V08-D4/p-qbf-modKSSS-K4-C10-V8-D4.3;                           0.00; Sat  ;
 556;qbfMS/C10-V08-D4/p-qbf-modKSSS-K4-C10-V8-D4.4;                           0.00; Sat  ;
 557;qbfMS/C10-V08-D4/p-qbf-modKSSS-K4-C10-V8-D4.5;                           0.00; Sat  ;
 558;qbfMS/C10-V08-D4/p-qbf-modKSSS-K4-C10-V8-D4.6;                           0.00; Sat  ;
 559;qbfMS/C10-V08-D4/p-qbf-modKSSS-K4-C10-V8-D4.7;                           0.00; Sat  ;
 560;qbfMS/C10-V08-D4/p-qbf-modKSSS-K4-C10-V8-D4.8;                           0.00; Sat  ;
 561;qbfMS/C10-V08-D6/p-qbf-modKSSS-K4-C10-V8-D6.1;                           0.00; Sat  ;
 562;qbfMS/C10-V08-D6/p-qbf-modKSSS-K4-C10-V8-D6.2;                           0.00; Sat  ;
 563;qbfMS/C10-V08-D6/p-qbf-modKSSS-K4-C10-V8-D6.3;                           0.00; Sat  ;
 564;qbfMS/C10-V08-D6/p-qbf-modKSSS-K4-C10-V8-D6.4;                           0.00; Sat  ;
 565;qbfMS/C10-V08-D6/p-qbf-modKSSS-K4-C10-V8-D6.5;                           0.00; Sat  ;
 566;qbfMS/C10-V08-D6/p-qbf-modKSSS-K4-C10-V8-D6.6;                           0.00; Sat  ;
 567;qbfMS/C10-V08-D6/p-qbf-modKSSS-K4-C10-V8-D6.7;                           0.00; Sat  ;
 568;qbfMS/C10-V08-D6/p-qbf-modKSSS-K4-C10-V8-D6.8;                           0.00; Sat  ;
 569;qbfMS/C10-V16-D4/p-qbf-modKSSS-K4-C10-V16-D4.1;                          0.00; Sat  ;
 570;qbfMS/C10-V16-D4/p-qbf-modKSSS-K4-C10-V16-D4.2;                          0.00; Sat  ;
 571;qbfMS/C10-V16-D4/p-qbf-modKSSS-K4-C10-V16-D4.3;                          0.00; Sat  ;
 572;qbfMS/C10-V16-D4/p-qbf-modKSSS-K4-C10-V16-D4.4;                          0.00; Sat  ;
 573;qbfMS/C10-V16-D4/p-qbf-modKSSS-K4-C10-V16-D4.5;                          0.00; Sat  ;
 574;qbfMS/C10-V16-D4/p-qbf-modKSSS-K4-C10-V16-D4.6;                          0.00; Sat  ;
 575;qbfMS/C10-V16-D4/p-qbf-modKSSS-K4-C10-V16-D4.7;                          0.00; Sat  ;
 576;qbfMS/C10-V16-D4/p-qbf-modKSSS-K4-C10-V16-D4.8;                          0.00; Sat  ;
 577;qbfMS/C10-V16-D6/p-qbf-modKSSS-K4-C10-V16-D6.1;                          0.00; Sat  ;
 578;qbfMS/C10-V16-D6/p-qbf-modKSSS-K4-C10-V16-D6.2;                          0.01; Sat  ;
 579;qbfMS/C10-V16-D6/p-qbf-modKSSS-K4-C10-V16-D6.3;                          0.01; Sat  ;
 580;qbfMS/C10-V16-D6/p-qbf-modKSSS-K4-C10-V16-D6.4;                          0.01; Sat  ;
 581;qbfMS/C10-V16-D6/p-qbf-modKSSS-K4-C10-V16-D6.5;                          0.01; Sat  ;
 582;qbfMS/C10-V16-D6/p-qbf-modKSSS-K4-C10-V16-D6.6;                          0.01; Sat  ;
 583;qbfMS/C10-V16-D6/p-qbf-modKSSS-K4-C10-V16-D6.7;                          0.00; Sat  ;
 584;qbfMS/C10-V16-D6/p-qbf-modKSSS-K4-C10-V16-D6.8;                          0.01; Sat  ;
 585;qbfMS/C20-V04-D4/p-qbf-modKSSS-K4-C20-V4-D4.1;                           0.00; Sat  ;
 586;qbfMS/C20-V04-D4/p-qbf-modKSSS-K4-C20-V4-D4.2;                           0.00; Sat  ;
 587;qbfMS/C20-V04-D4/p-qbf-modKSSS-K4-C20-V4-D4.3;                           0.01; Sat  ;
 588;qbfMS/C20-V04-D4/p-qbf-modKSSS-K4-C20-V4-D4.4;                           0.00; Sat  ;
 589;qbfMS/C20-V04-D4/p-qbf-modKSSS-K4-C20-V4-D4.5;                           0.00; Sat  ;
 590;qbfMS/C20-V04-D4/p-qbf-modKSSS-K4-C20-V4-D4.6;                           0.03; Sat  ;
 591;qbfMS/C20-V04-D4/p-qbf-modKSSS-K4-C20-V4-D4.7;                           0.00; Unsat;
 592;qbfMS/C20-V04-D4/p-qbf-modKSSS-K4-C20-V4-D4.8;                           0.01; Sat  ;
 593;qbfMS/C20-V04-D6/p-qbf-modKSSS-K4-C20-V4-D6.1;                           0.01; Sat  ;
 594;qbfMS/C20-V04-D6/p-qbf-modKSSS-K4-C20-V4-D6.2;                           0.00; Sat  ;
 595;qbfMS/C20-V04-D6/p-qbf-modKSSS-K4-C20-V4-D6.3;                           0.00; Sat  ;
 596;qbfMS/C20-V04-D6/p-qbf-modKSSS-K4-C20-V4-D6.4;                           0.01; Sat  ;
 597;qbfMS/C20-V04-D6/p-qbf-modKSSS-K4-C20-V4-D6.5;                           0.00; Sat  ;
 598;qbfMS/C20-V04-D6/p-qbf-modKSSS-K4-C20-V4-D6.6;                           0.00; Sat  ;
 599;qbfMS/C20-V04-D6/p-qbf-modKSSS-K4-C20-V4-D6.7;                           0.00; Sat  ;
 600;qbfMS/C20-V04-D6/p-qbf-modKSSS-K4-C20-V4-D6.8;                           0.00; Sat  ;
 601;qbfMS/C20-V08-D4/p-qbf-modKSSS-K4-C20-V8-D4.1;                           0.00; Sat  ;
 602;qbfMS/C20-V08-D4/p-qbf-modKSSS-K4-C20-V8-D4.2;                           0.00; Sat  ;
 603;qbfMS/C20-V08-D4/p-qbf-modKSSS-K4-C20-V8-D4.3;                           0.00; Sat  ;
 604;qbfMS/C20-V08-D4/p-qbf-modKSSS-K4-C20-V8-D4.4;                           0.00; Sat  ;
 605;qbfMS/C20-V08-D4/p-qbf-modKSSS-K4-C20-V8-D4.5;                           0.00; Sat  ;
 606;qbfMS/C20-V08-D4/p-qbf-modKSSS-K4-C20-V8-D4.6;                           0.01; Sat  ;
 607;qbfMS/C20-V08-D4/p-qbf-modKSSS-K4-C20-V8-D4.7;                           0.00; Sat  ;
 608;qbfMS/C20-V08-D4/p-qbf-modKSSS-K4-C20-V8-D4.8;                           0.00; Sat  ;
 609;qbfMS/C20-V08-D6/p-qbf-modKSSS-K4-C20-V8-D6.1;                           0.00; Sat  ;
 610;qbfMS/C20-V08-D6/p-qbf-modKSSS-K4-C20-V8-D6.2;                           0.01; Sat  ;
 611;qbfMS/C20-V08-D6/p-qbf-modKSSS-K4-C20-V8-D6.3;                           0.01; Sat  ;
 612;qbfMS/C20-V08-D6/p-qbf-modKSSS-K4-C20-V8-D6.4;                           0.01; Sat  ;
 613;qbfMS/C20-V08-D6/p-qbf-modKSSS-K4-C20-V8-D6.5;                           0.00; Sat  ;
 614;qbfMS/C20-V08-D6/p-qbf-modKSSS-K4-C20-V8-D6.6;                           0.00; Sat  ;
 615;qbfMS/C20-V08-D6/p-qbf-modKSSS-K4-C20-V8-D6.7;                           0.01; Sat  ;
 616;qbfMS/C20-V08-D6/p-qbf-modKSSS-K4-C20-V8-D6.8;                           0.01; Sat  ;
 617;qbfMS/C20-V16-D4/p-qbf-modKSSS-K4-C20-V16-D4.1;                          0.01; Sat  ;
 618;qbfMS/C20-V16-D4/p-qbf-modKSSS-K4-C20-V16-D4.2;                          0.01; Sat  ;
 619;qbfMS/C20-V16-D4/p-qbf-modKSSS-K4-C20-V16-D4.3;                          0.01; Sat  ;
 620;qbfMS/C20-V16-D4/p-qbf-modKSSS-K4-C20-V16-D4.4;                          0.01; Sat  ;
 621;qbfMS/C20-V16-D4/p-qbf-modKSSS-K4-C20-V16-D4.5;                          0.01; Sat  ;
 622;qbfMS/C20-V16-D4/p-qbf-modKSSS-K4-C20-V16-D4.6;                          0.01; Sat  ;
 623;qbfMS/C20-V16-D4/p-qbf-modKSSS-K4-C20-V16-D4.7;                          0.01; Sat  ;
 624;qbfMS/C20-V16-D4/p-qbf-modKSSS-K4-C20-V16-D4.8;                          0.01; Sat  ;
 625;qbfMS/C20-V16-D6/p-qbf-modKSSS-K4-C20-V16-D6.1;                          0.01; Sat  ;
 626;qbfMS/C20-V16-D6/p-qbf-modKSSS-K4-C20-V16-D6.2;                          0.01; Sat  ;
 627;qbfMS/C20-V16-D6/p-qbf-modKSSS-K4-C20-V16-D6.3;                          0.02; Sat  ;
 628;qbfMS/C20-V16-D6/p-qbf-modKSSS-K4-C20-V16-D6.4;                          0.01; Sat  ;
 629;qbfMS/C20-V16-D6/p-qbf-modKSSS-K4-C20-V16-D6.5;                          0.01; Sat  ;
 630;qbfMS/C20-V16-D6/p-qbf-modKSSS-K4-C20-V16-D6.6;                          0.01; Sat  ;
 631;qbfMS/C20-V16-D6/p-qbf-modKSSS-K4-C20-V16-D6.7;                          0.02; Sat  ;
 632;qbfMS/C20-V16-D6/p-qbf-modKSSS-K4-C20-V16-D6.8;                          0.02; Sat  ;
 633;qbfMS/C30-V04-D4/p-qbf-modKSSS-K4-C30-V4-D4.1;                           0.01; Unsat;
 634;qbfMS/C30-V04-D4/p-qbf-modKSSS-K4-C30-V4-D4.2;                           0.03; Sat  ;
 635;qbfMS/C30-V04-D4/p-qbf-modKSSS-K4-C30-V4-D4.3;                           0.01; Unsat;
 636;qbfMS/C30-V04-D4/p-qbf-modKSSS-K4-C30-V4-D4.4;                           0.01; Unsat;
 637;qbfMS/C30-V04-D4/p-qbf-modKSSS-K4-C30-V4-D4.5;                           0.01; Unsat;
 638;qbfMS/C30-V04-D4/p-qbf-modKSSS-K4-C30-V4-D4.6;                           0.04; Unsat;
 639;qbfMS/C30-V04-D4/p-qbf-modKSSS-K4-C30-V4-D4.7;                           0.03; Sat  ;
 640;qbfMS/C30-V04-D4/p-qbf-modKSSS-K4-C30-V4-D4.8;                           0.17; Sat  ;
 641;qbfMS/C30-V04-D6/p-qbf-modKSSS-K4-C30-V4-D6.1;                           0.02; Unsat;
 642;qbfMS/C30-V04-D6/p-qbf-modKSSS-K4-C30-V4-D6.2;                           0.02; Unsat;
 643;qbfMS/C30-V04-D6/p-qbf-modKSSS-K4-C30-V4-D6.3;                           0.01; Sat  ;
 644;qbfMS/C30-V04-D6/p-qbf-modKSSS-K4-C30-V4-D6.4;                           0.02; Unsat;
 645;qbfMS/C30-V04-D6/p-qbf-modKSSS-K4-C30-V4-D6.5;                           0.01; Sat  ;
 646;qbfMS/C30-V04-D6/p-qbf-modKSSS-K4-C30-V4-D6.6;                           0.08; Sat  ;
 647;qbfMS/C30-V04-D6/p-qbf-modKSSS-K4-C30-V4-D6.7;                           0.03; Unsat;
 648;qbfMS/C30-V04-D6/p-qbf-modKSSS-K4-C30-V4-D6.8;                           0.02; Unsat;
 649;qbfMS/C30-V08-D4/p-qbf-modKSSS-K4-C30-V8-D4.1;                           0.01; Sat  ;
 650;qbfMS/C30-V08-D4/p-qbf-modKSSS-K4-C30-V8-D4.2;                           0.01; Sat  ;
 651;qbfMS/C30-V08-D4/p-qbf-modKSSS-K4-C30-V8-D4.3;                           0.01; Sat  ;
 652;qbfMS/C30-V08-D4/p-qbf-modKSSS-K4-C30-V8-D4.4;                           0.01; Sat  ;
 653;qbfMS/C30-V08-D4/p-qbf-modKSSS-K4-C30-V8-D4.5;                           0.02; Sat  ;
 654;qbfMS/C30-V08-D4/p-qbf-modKSSS-K4-C30-V8-D4.6;                           0.01; Sat  ;
 655;qbfMS/C30-V08-D4/p-qbf-modKSSS-K4-C30-V8-D4.7;                           0.02; Sat  ;
 656;qbfMS/C30-V08-D4/p-qbf-modKSSS-K4-C30-V8-D4.8;                           0.00; Sat  ;
 657;qbfMS/C30-V08-D6/p-qbf-modKSSS-K4-C30-V8-D6.1;                           0.02; Sat  ;
 658;qbfMS/C30-V08-D6/p-qbf-modKSSS-K4-C30-V8-D6.2;                           0.02; Sat  ;
 659;qbfMS/C30-V08-D6/p-qbf-modKSSS-K4-C30-V8-D6.3;                           0.01; Sat  ;
 660;qbfMS/C30-V08-D6/p-qbf-modKSSS-K4-C30-V8-D6.4;                           0.03; Sat  ;
 661;qbfMS/C30-V08-D6/p-qbf-modKSSS-K4-C30-V8-D6.5;                           0.01; Sat  ;
 662;qbfMS/C30-V08-D6/p-qbf-modKSSS-K4-C30-V8-D6.6;                           0.01; Sat  ;
 663;qbfMS/C30-V08-D6/p-qbf-modKSSS-K4-C30-V8-D6.7;                           0.01; Sat  ;
 664;qbfMS/C30-V08-D6/p-qbf-modKSSS-K4-C30-V8-D6.8;                           0.01; Sat  ;
 665;qbfMS/C30-V16-D4/p-qbf-modKSSS-K4-C30-V16-D4.1;                          0.01; Sat  ;
 666;qbfMS/C30-V16-D4/p-qbf-modKSSS-K4-C30-V16-D4.2;                          0.01; Sat  ;
 667;qbfMS/C30-V16-D4/p-qbf-modKSSS-K4-C30-V16-D4.3;                          0.02; Sat  ;
 668;qbfMS/C30-V16-D4/p-qbf-modKSSS-K4-C30-V16-D4.4;                          0.02; Sat  ;
 669;qbfMS/C30-V16-D4/p-qbf-modKSSS-K4-C30-V16-D4.5;                          0.01; Sat  ;
 670;qbfMS/C30-V16-D4/p-qbf-modKSSS-K4-C30-V16-D4.6;                          0.03; Sat  ;
 671;qbfMS/C30-V16-D4/p-qbf-modKSSS-K4-C30-V16-D4.7;                          0.02; Sat  ;
 672;qbfMS/C30-V16-D4/p-qbf-modKSSS-K4-C30-V16-D4.8;                          0.01; Sat  ;
 673;qbfMS/C30-V16-D6/p-qbf-modKSSS-K4-C30-V16-D6.1;                          0.03; Sat  ;
 674;qbfMS/C30-V16-D6/p-qbf-modKSSS-K4-C30-V16-D6.2;                          0.02; Sat  ;
 675;qbfMS/C30-V16-D6/p-qbf-modKSSS-K4-C30-V16-D6.3;                          0.02; Sat  ;
 676;qbfMS/C30-V16-D6/p-qbf-modKSSS-K4-C30-V16-D6.4;                          0.02; Sat  ;
 677;qbfMS/C30-V16-D6/p-qbf-modKSSS-K4-C30-V16-D6.5;                          0.02; Sat  ;
 678;qbfMS/C30-V16-D6/p-qbf-modKSSS-K4-C30-V16-D6.6;                          0.02; Sat  ;
 679;qbfMS/C30-V16-D6/p-qbf-modKSSS-K4-C30-V16-D6.7;                          0.02; Sat  ;
 680;qbfMS/C30-V16-D6/p-qbf-modKSSS-K4-C30-V16-D6.8;                          0.03; Sat  ;
 681;qbfMS/C40-V04-D4/p-qbf-modKSSS-K4-C40-V4-D4.1;                           0.02; Unsat;
 682;qbfMS/C40-V04-D4/p-qbf-modKSSS-K4-C40-V4-D4.2;                           0.02; Unsat;
 683;qbfMS/C40-V04-D4/p-qbf-modKSSS-K4-C40-V4-D4.3;                           0.02; Unsat;
 684;qbfMS/C40-V04-D4/p-qbf-modKSSS-K4-C40-V4-D4.4;                           0.02; Unsat;
 685;qbfMS/C40-V04-D4/p-qbf-modKSSS-K4-C40-V4-D4.5;                           0.02; Unsat;
 686;qbfMS/C40-V04-D4/p-qbf-modKSSS-K4-C40-V4-D4.6;                           0.03; Unsat;
 687;qbfMS/C40-V04-D4/p-qbf-modKSSS-K4-C40-V4-D4.7;                           0.01; Unsat;
 688;qbfMS/C40-V04-D4/p-qbf-modKSSS-K4-C40-V4-D4.8;                           0.02; Unsat;
 689;qbfMS/C40-V04-D6/p-qbf-modKSSS-K4-C40-V4-D6.1;                           0.02; Unsat;
 690;qbfMS/C40-V04-D6/p-qbf-modKSSS-K4-C40-V4-D6.2;                           0.02; Unsat;
 691;qbfMS/C40-V04-D6/p-qbf-modKSSS-K4-C40-V4-D6.3;                           0.02; Unsat;
 692;qbfMS/C40-V04-D6/p-qbf-modKSSS-K4-C40-V4-D6.4;                           0.07; Unsat;
 693;qbfMS/C40-V04-D6/p-qbf-modKSSS-K4-C40-V4-D6.5;                           0.04; Unsat;
 694;qbfMS/C40-V04-D6/p-qbf-modKSSS-K4-C40-V4-D6.6;                           0.04; Unsat;
 695;qbfMS/C40-V04-D6/p-qbf-modKSSS-K4-C40-V4-D6.7;                          14.55; Sat  ;
 696;qbfMS/C40-V04-D6/p-qbf-modKSSS-K4-C40-V4-D6.8;                           0.02; Unsat;
 697;qbfMS/C40-V08-D4/p-qbf-modKSSS-K4-C40-V8-D4.1;                           0.06; Sat  ;
 698;qbfMS/C40-V08-D4/p-qbf-modKSSS-K4-C40-V8-D4.2;                           0.10; Unsat;
 699;qbfMS/C40-V08-D4/p-qbf-modKSSS-K4-C40-V8-D4.3;                           0.03; Sat  ;
 700;qbfMS/C40-V08-D4/p-qbf-modKSSS-K4-C40-V8-D4.4;                           0.08; Sat  ;
 701;qbfMS/C40-V08-D4/p-qbf-modKSSS-K4-C40-V8-D4.5;                           0.04; Sat  ;
 702;qbfMS/C40-V08-D4/p-qbf-modKSSS-K4-C40-V8-D4.6;                           0.02; Unsat;
 703;qbfMS/C40-V08-D4/p-qbf-modKSSS-K4-C40-V8-D4.7;                           0.06; Sat  ;
 704;qbfMS/C40-V08-D4/p-qbf-modKSSS-K4-C40-V8-D4.8;                           0.03; Unsat;
 705;qbfMS/C40-V08-D6/p-qbf-modKSSS-K4-C40-V8-D6.1;                           0.04; Sat  ;
 706;qbfMS/C40-V08-D6/p-qbf-modKSSS-K4-C40-V8-D6.2;                           0.02; Sat  ;
 707;qbfMS/C40-V08-D6/p-qbf-modKSSS-K4-C40-V8-D6.3;                           0.02; Sat  ;
 708;qbfMS/C40-V08-D6/p-qbf-modKSSS-K4-C40-V8-D6.4;                           0.04; Sat  ;
 709;qbfMS/C40-V08-D6/p-qbf-modKSSS-K4-C40-V8-D6.5;                           0.03; Sat  ;
 710;qbfMS/C40-V08-D6/p-qbf-modKSSS-K4-C40-V8-D6.6;                           0.03; Sat  ;
 711;qbfMS/C40-V08-D6/p-qbf-modKSSS-K4-C40-V8-D6.7;                           0.04; Sat  ;
 712;qbfMS/C40-V08-D6/p-qbf-modKSSS-K4-C40-V8-D6.8;                           0.02; Sat  ;
 713;qbfMS/C40-V16-D4/p-qbf-modKSSS-K4-C40-V16-D4.1;                          0.02; Sat  ;
 714;qbfMS/C40-V16-D4/p-qbf-modKSSS-K4-C40-V16-D4.2;                          0.03; Unsat;
 715;qbfMS/C40-V16-D4/p-qbf-modKSSS-K4-C40-V16-D4.3;                          0.04; Sat  ;
 716;qbfMS/C40-V16-D4/p-qbf-modKSSS-K4-C40-V16-D4.4;                          0.06; Sat  ;
 717;qbfMS/C40-V16-D4/p-qbf-modKSSS-K4-C40-V16-D4.5;                          0.04; Sat  ;
 718;qbfMS/C40-V16-D4/p-qbf-modKSSS-K4-C40-V16-D4.6;                          0.03; Sat  ;
 719;qbfMS/C40-V16-D4/p-qbf-modKSSS-K4-C40-V16-D4.7;                          0.02; Sat  ;
 720;qbfMS/C40-V16-D4/p-qbf-modKSSS-K4-C40-V16-D4.8;                          0.03; Sat  ;
 721;qbfMS/C40-V16-D6/p-qbf-modKSSS-K4-C40-V16-D6.1;                          0.03; Sat  ;
 722;qbfMS/C40-V16-D6/p-qbf-modKSSS-K4-C40-V16-D6.2;                          0.05; Sat  ;
 723;qbfMS/C40-V16-D6/p-qbf-modKSSS-K4-C40-V16-D6.3;                          0.03; Sat  ;
 724;qbfMS/C40-V16-D6/p-qbf-modKSSS-K4-C40-V16-D6.4;                          0.05; Sat  ;
 725;qbfMS/C40-V16-D6/p-qbf-modKSSS-K4-C40-V16-D6.5;                          0.03; Sat  ;
 726;qbfMS/C40-V16-D6/p-qbf-modKSSS-K4-C40-V16-D6.6;                          0.03; Sat  ;
 727;qbfMS/C40-V16-D6/p-qbf-modKSSS-K4-C40-V16-D6.7;                          0.05; Sat  ;
 728;qbfMS/C40-V16-D6/p-qbf-modKSSS-K4-C40-V16-D6.8;                          0.04; Sat  ;
 729;qbfMS/C50-V04-D4/p-qbf-modKSSS-K4-C50-V4-D4.1;                           0.03; Unsat;
 730;qbfMS/C50-V04-D4/p-qbf-modKSSS-K4-C50-V4-D4.2;                           0.03; Unsat;
 731;qbfMS/C50-V04-D4/p-qbf-modKSSS-K4-C50-V4-D4.3;                           0.03; Unsat;
 732;qbfMS/C50-V04-D4/p-qbf-modKSSS-K4-C50-V4-D4.4;                           0.03; Unsat;
 733;qbfMS/C50-V04-D4/p-qbf-modKSSS-K4-C50-V4-D4.5;                           0.02; Unsat;
 734;qbfMS/C50-V04-D4/p-qbf-modKSSS-K4-C50-V4-D4.6;                           0.03; Unsat;
 735;qbfMS/C50-V04-D4/p-qbf-modKSSS-K4-C50-V4-D4.7;                           0.02; Unsat;
 736;qbfMS/C50-V04-D4/p-qbf-modKSSS-K4-C50-V4-D4.8;                           0.05; Unsat;
 737;qbfMS/C50-V04-D6/p-qbf-modKSSS-K4-C50-V4-D6.1;                           0.05; Unsat;
 738;qbfMS/C50-V04-D6/p-qbf-modKSSS-K4-C50-V4-D6.2;                           0.04; Unsat;
 739;qbfMS/C50-V04-D6/p-qbf-modKSSS-K4-C50-V4-D6.3;                           0.02; Unsat;
 740;qbfMS/C50-V04-D6/p-qbf-modKSSS-K4-C50-V4-D6.4;                           0.06; Unsat;
 741;qbfMS/C50-V04-D6/p-qbf-modKSSS-K4-C50-V4-D6.5;                           0.03; Unsat;
 742;qbfMS/C50-V04-D6/p-qbf-modKSSS-K4-C50-V4-D6.6;                           0.03; Unsat;
 743;qbfMS/C50-V04-D6/p-qbf-modKSSS-K4-C50-V4-D6.7;                           0.05; Unsat;
 744;qbfMS/C50-V04-D6/p-qbf-modKSSS-K4-C50-V4-D6.8;                           0.03; Unsat;
 745;qbfMS/C50-V08-D4/p-qbf-modKSSS-K4-C50-V8-D4.1;                           1.18; Sat  ;
 746;qbfMS/C50-V08-D4/p-qbf-modKSSS-K4-C50-V8-D4.2;                           0.04; Unsat;
