  No;Problem;                                                              snf+#negative6;;
 131;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.3;                            0.12; Sat  ;
 132;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.4;                            0.13; Sat  ;
 133;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.5;                            0.17; Sat  ;
 134;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.6;                            0.13; Sat  ;
 135;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.7;                            0.13; Sat  ;
 136;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.8;                            0.12; Sat  ;
 137;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.1;                           0.26; Sat  ;
 138;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.2;                           0.22; Sat  ;
 139;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.3;                           0.25; Sat  ;
 140;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.4;                           0.20; Sat  ;
 141;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.5;                           0.24; Sat  ;
 142;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.6;                           0.31; Sat  ;
 143;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.7;                           0.28; Sat  ;
 144;qbfL/C20-V16-D4/p-qbf-cnfLadn-K4-C20-V16-D4.8;                           0.24; Sat  ;
 145;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.1;                           0.45; Sat  ;
 146;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.2;                           0.40; Sat  ;
 147;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.3;                           0.52; Sat  ;
 148;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.4;                           0.44; Sat  ;
 149;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.5;                           0.35; Sat  ;
 150;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.6;                           0.49; Sat  ;
 151;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.7;                           0.55; Sat  ;
 152;qbfL/C20-V16-D6/p-qbf-cnfLadn-K4-C20-V16-D6.8;                           0.45; Sat  ;
 153;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.1;                            0.15; Sat  ;
 154;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.2;                            0.08; Unsat;
 155;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.3;                            0.05; Unsat;
 156;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.4;                            0.02; Unsat;
 157;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.5;                            0.03; Unsat;
 158;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.6;                            0.04; Sat  ;
 159;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.7;                            0.13; Unsat;
 160;qbfL/C30-V04-D4/p-qbf-cnfLadn-K4-C30-V4-D4.8;                            0.02; Unsat;
 161;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.1;                            0.17; Sat  ;
 162;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.2;                            0.11; Sat  ;
 163;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.3;                            0.06; Sat  ;
 164;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.4;                            0.09; Sat  ;
 165;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.5;                            0.08; Sat  ;
 166;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.6;                            0.07; Sat  ;
 167;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.7;                            0.07; Sat  ;
 168;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.8;                            0.08; Unsat;
 169;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.1;                            0.12; Sat  ;
 170;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.2;                            0.10; Sat  ;
 171;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.3;                            0.12; Sat  ;
 172;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.4;                            0.15; Sat  ;
 173;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.5;                            0.15; Sat  ;
 174;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.6;                            0.11; Sat  ;
 175;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.7;                            0.12; Sat  ;
 176;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.8;                            0.15; Sat  ;
 177;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.1;                            0.18; Sat  ;
 178;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.2;                            0.18; Sat  ;
 179;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.3;                            0.19; Sat  ;
 180;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.4;                            0.17; Sat  ;
 181;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.5;                            0.16; Sat  ;
 182;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.6;                            0.20; Sat  ;
 183;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.7;                            0.19; Sat  ;
 184;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.8;                            0.24; Sat  ;
 185;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.1;                           0.37; Sat  ;
 186;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.2;                           0.35; Sat  ;
 187;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.3;                           0.42; Sat  ;
 188;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.4;                           0.49; Sat  ;
 189;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.5;                           0.46; Sat  ;
 190;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.6;                           0.38; Sat  ;
 191;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.7;                           0.42; Sat  ;
 192;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.8;                           0.32; Sat  ;
 193;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.1;                           0.85; Sat  ;
